level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	47	1	1	1	732	642	22	5	95	 
2	1	48	0	0	0	732	631	187	21	-1	
3	1	48	1	0	0	732	631	187	21	-1	
4	1	48	1	1	0	732	631	187	21	-1	
5	1	48	1	1	1	732	648	15	1	95	 
5	1	48	1	1	2	873	631	46	21	95	 
2	1	49	0	0	0	721	717	413	21	-1	
3	1	49	1	0	0	721	717	413	21	-1	
4	1	49	1	1	0	721	717	413	21	-1	
5	1	49	1	1	1	721	717	30	21	95	   
5	1	49	1	1	2	1092	717	42	18	95	 
2	1	50	0	0	0	620	778	374	38	-1	
3	1	50	1	0	0	620	778	374	38	-1	
4	1	50	1	1	0	620	778	374	38	-1	
5	1	50	1	1	1	620	790	76	23	95	 
5	1	50	1	1	2	963	778	31	38	95	 
2	1	51	0	0	0	732	867	22	5	-1	
3	1	51	1	0	0	732	867	22	5	-1	
4	1	51	1	1	0	732	867	22	5	-1	
5	1	51	1	1	1	732	867	22	5	95	 
2	1	52	0	0	0	732	873	15	1	-1	
3	1	52	1	0	0	732	873	15	1	-1	
4	1	52	1	1	0	732	873	15	1	-1	
5	1	52	1	1	1	732	873	15	1	95	 
2	1	53	0	0	0	296	509	1181	380	-1	
3	1	53	1	0	0	303	509	813	45	-1	
4	1	53	1	1	0	303	509	532	32	-1	
5	1	53	1	1	1	303	509	6	32	17	Pi
5	1	53	1	1	2	828	528	7	2	1	És
4	1	53	1	2	0	328	543	788	11	-1	
5	1	53	1	2	1	328	544	60	10	91	Szuperodds
5	1	53	1	2	2	399	543	57	11	90	Labdarúgás
5	1	53	1	2	3	461	531	13	31	72	—
5	1	53	1	2	4	480	544	31	8	60	Tenisz
5	1	53	1	2	5	517	531	13	31	35	—
5	1	53	1	2	6	536	544	55	8	88	Kosárlabda
5	1	53	1	2	7	604	543	53	11	90	Jégkorong
5	1	53	1	2	8	675	544	48	8	54	Kézilabda
5	1	53	1	2	9	744	544	46	10	68	Röplabda
5	1	53	1	2	10	812	543	46	9	19	Vízilabda
5	1	53	1	2	11	890	544	26	8	50	Darts
5	1	53	1	2	12	922	531	17	31	23	—
5	1	53	1	2	13	953	544	37	10	33	E-Sport
5	1	53	1	2	14	1009	531	45	31	0	Amerikai
5	1	53	1	2	15	1054	531	37	31	0	futball
5	1	53	1	2	16	1100	544	16	8	91	Asz
3	1	53	2	0	0	302	581	835	80	-1	
4	1	53	2	1	0	344	581	711	16	-1	
5	1	53	2	1	1	344	590	44	7	0	KARNAS
5	1	53	2	1	2	682	589	4	3	0	A
5	1	53	2	1	3	974	581	81	12	0	LCESSETE
4	1	53	2	2	0	302	578	835	37	-1	
5	1	53	2	2	1	302	586	87	16	0	KETTO
5	1	53	2	2	2	664	578	22	29	0	jee
5	1	53	2	2	3	826	588	40	10	16	EL
5	1	53	2	2	4	990	586	41	29	93	szerez
5	1	53	2	2	5	1035	586	20	29	92	gólt
5	1	53	2	2	6	1124	590	13	7	0	.
4	1	53	2	3	0	303	617	503	29	-1	
5	1	53	2	3	1	303	617	65	29	95	Sunderland
5	1	53	2	3	2	787	635	4	1	10	ge
4	1	53	2	4	0	303	637	827	24	-1	
5	1	53	2	4	1	303	650	82	10	0	Meeeád
5	1	53	2	4	2	563	640	101	21	0	[SES
5	1	53	2	4	3	675	640	68	21	0	TEK]
5	1	53	2	4	4	789	637	18	15	0	bi
5	1	53	2	4	5	971	640	19	21	2	ai
5	1	53	2	4	6	1040	640	78	21	0	bevitt
5	1	53	2	4	7	1118	633	12	32	0	ES
3	1	53	3	0	0	303	652	745	61	-1	
4	1	53	3	1	0	340	652	708	22	-1	
5	1	53	3	1	1	340	652	7	21	27	Hi
5	1	53	3	1	2	391	653	6	9	18	A
5	1	53	3	1	3	641	652	8	21	30	té
5	1	53	3	1	4	684	652	6	21	0	."
5	1	53	3	1	5	724	652	6	21	5	ll
5	1	53	3	1	6	787	657	21	11	6	nézi
5	1	53	3	1	7	885	653	23	21	80	2.21
5	1	53	3	1	8	974	659	1	3	29	.
5	1	53	3	1	9	1046	659	2	4	76	"
4	1	53	3	2	0	303	670	64	8	-1	
5	1	53	3	2	1	303	670	64	8	0	MIINEZET]
4	1	53	3	3	0	303	697	612	23	-1	
5	1	53	3	3	1	303	697	54	22	91	Liverpool
5	1	53	3	3	2	780	699	11	21	34	Te
5	1	53	3	3	3	883	712	32	1	8	NATY
3	1	53	4	0	0	303	699	1174	185	-1	
4	1	53	4	1	0	563	699	497	35	-1	
5	1	53	4	1	1	563	717	21	17	0	TE
5	1	53	4	1	2	641	715	69	7	0	ÉLTES
5	1	53	4	1	3	785	699	22	33	0	kerd
5	1	53	4	1	4	877	710	33	17	29	kéri
5	1	53	4	1	5	970	715	11	9	0	je
5	1	53	4	1	6	1045	715	15	7	0	ve
4	1	53	4	2	0	303	716	760	28	-1	
5	1	53	4	2	1	303	716	26	28	0	jEET
5	1	53	4	2	2	640	727	64	11	4	Elek
5	1	53	4	2	3	787	732	23	11	24	Her
5	1	53	4	2	4	885	732	24	10	18	Fil
5	1	53	4	2	5	967	727	23	10	73	170
5	1	53	4	2	6	1039	727	24	11	0	Xi
4	1	53	4	3	0	303	745	64	8	-1	
5	1	53	4	3	1	303	745	64	8	0	MEINATETI
4	1	53	4	4	0	1194	750	250	18	-1	
5	1	53	4	4	1	1190	740	19	32	90	Csak
5	1	53	4	4	2	1214	755	10	8	83	18
5	1	53	4	4	3	1229	757	19	6	94	éven
5	1	53	4	4	4	1252	755	50	8	59	felülieknek!
5	1	53	4	4	5	1315	750	9	18	0	§)
5	1	53	4	4	6	1328	740	4	32	53	.
5	1	53	4	4	7	1336	740	31	32	87	Közepes
5	1	53	4	4	8	1372	740	46	32	87	kockázatú
5	1	53	4	4	9	1422	740	26	32	66	játék.
4	1	53	4	5	0	303	774	612	21	-1	
5	1	53	4	5	1	303	776	39	12	76	Crystal
5	1	53	4	5	2	348	776	35	10	95	Palace
5	1	53	4	5	3	780	774	11	21	34	Te
5	1	53	4	5	4	883	787	32	1	8	NATY
4	1	53	4	6	0	303	781	1174	34	-1	
5	1	53	4	6	1	303	800	41	10	0	e
5	1	53	4	6	2	566	792	18	17	0	0
5	1	53	4	6	3	697	792	47	19	38	see
5	1	53	4	6	4	789	785	121	17	17	ER
5	1	53	4	6	5	1040	790	90	21	11	c
5	1	53	4	6	6	1272	777	210	54	0	hl
4	1	53	4	7	0	724	807	324	11	-1	
5	1	53	4	7	1	724	809	2	4	14	ú
5	1	53	4	7	2	786	807	22	11	0	XI
5	1	53	4	7	3	886	807	23	10	0	kB)
5	1	53	4	7	4	1046	809	2	4	0	ú
4	1	53	4	8	0	303	820	64	8	-1	
5	1	53	4	8	1	303	820	64	8	0	MEINALET]
4	1	53	4	9	0	1206	833	56	12	-1	
5	1	53	4	9	1	1221	833	20	12	0	AL
5	1	53	4	9	2	1240	829	22	22	0	eTlÉ
4	1	53	4	10	0	296	832	1016	33	-1	
5	1	53	4	10	1	296	832	63	33	0	FRNNNANNTN
5	1	53	4	10	2	787	860	4	1	0	j
5	1	53	4	10	3	883	862	32	1	8	Ki
5	1	53	4	10	4	1179	842	14	14	10	(E
5	1	53	4	10	5	1192	832	17	34	26	ÉG
5	1	53	4	10	6	1217	849	22	8	0	at
5	1	53	4	10	7	1240	848	72	11	0	eATYNTT
4	1	53	4	11	0	563	856	741	32	-1	
5	1	53	4	11	1	563	858	10	30	52	1!
5	1	53	4	11	2	641	865	21	7	11	LL
5	1	53	4	11	3	780	856	27	26	0	jód
5	1	53	4	11	4	877	860	33	17	7	késs
5	1	53	4	11	5	970	865	16	7	0	SA
5	1	53	4	11	6	1042	865	77	7	0	LESETT
5	1	53	4	11	7	1118	855	12	30	0	TS
5	1	53	4	11	8	1206	862	98	12	0	MELLOL
3	1	53	5	0	0	302	865	761	24	-1	
4	1	53	5	1	0	302	865	761	24	-1	
5	1	53	5	1	1	302	865	64	24	0	KYETi
5	1	53	5	1	2	564	865	20	24	19	[11]
5	1	53	5	1	3	640	877	23	11	84	2.23
5	1	53	5	1	4	680	877	24	10	82	3.60
5	1	53	5	1	5	721	877	24	11	66	3.25
5	1	53	5	1	6	787	882	23	7	1	BA
5	1	53	5	1	7	875	867	34	22	0	jus
5	1	53	5	1	8	980	877	9	10	0	el
5	1	53	5	1	9	1039	877	24	11	22	Fi
